humidity_out,statetime
17.0,"2019-10-21 04:50:32"
18.0,"2019-10-21 04:30:32"
17.0,"2019-10-21 04:30:02"
18.0,"2019-10-21 03:21:32"
17.0,"2019-10-21 03:21:02"
18.0,"2019-10-21 03:20:02"
17.0,"2019-10-21 03:19:32"
18.0,"2019-10-21 03:17:02"
17.0,"2019-10-21 03:16:32"
18.0,"2019-10-21 01:24:32"
17.0,"2019-10-21 01:23:32"
18.0,"2019-10-21 01:23:02"
17.0,"2019-10-21 01:22:02"
18.0,"2019-10-21 01:19:32"
17.0,"2019-10-21 01:19:02"
18.0,"2019-10-21 01:18:02"
17.0,"2019-10-21 01:17:32"
18.0,"2019-10-21 01:16:02"
17.0,"2019-10-21 01:11:02"
18.0,"2019-10-21 01:10:02"
17.0,"2019-10-21 01:05:32"
18.0,"2019-10-21 01:05:02"
17.0,"2019-10-21 00:47:32"
18.0,"2019-10-21 00:47:02"
17.0,"2019-10-21 00:19:02"
18.0,"2019-10-21 00:18:32"
17.0,"2019-10-20 21:43:02"
16.0,"2019-10-20 21:42:32"
17.0,"2019-10-20 20:39:02"
18.0,"2019-10-20 20:38:32"
17.0,"2019-10-20 20:38:02"
16.0,"2019-10-20 20:32:32"
17.0,"2019-10-20 20:30:02"
16.0,"2019-10-20 20:28:02"
17.0,"2019-10-20 20:27:02"
16.0,"2019-10-20 20:26:02"
17.0,"2019-10-20 20:25:32"
16.0,"2019-10-20 20:25:02"
17.0,"2019-10-20 20:23:02"
16.0,"2019-10-20 20:21:02"
17.0,"2019-10-20 20:20:32"
16.0,"2019-10-20 18:45:32"
15.0,"2019-10-20 18:42:32"
16.0,"2019-10-20 18:41:02"
15.0,"2019-10-20 18:40:32"
16.0,"2019-10-20 18:30:02"
15.0,"2019-10-20 18:29:02"
16.0,"2019-10-20 18:28:32"
15.0,"2019-10-20 18:27:32"
16.0,"2019-10-20 18:26:32"
15.0,"2019-10-20 18:26:02"
16.0,"2019-10-20 17:19:01"
15.0,"2019-10-20 17:18:01"
16.0,"2019-10-20 17:17:01"
15.0,"2019-10-20 17:15:01"
16.0,"2019-10-20 17:14:32"
15.0,"2019-10-20 17:12:01"
16.0,"2019-10-20 17:11:31"
15.0,"2019-10-20 17:11:01"
16.0,"2019-10-20 17:10:31"
15.0,"2019-10-20 17:10:01"
14.0,"2019-10-20 17:07:01"
15.0,"2019-10-20 17:06:31"
14.0,"2019-10-20 17:05:31"
15.0,"2019-10-20 17:05:01"
14.0,"2019-10-20 17:04:31"
15.0,"2019-10-20 16:44:01"
14.0,"2019-10-20 16:42:01"
15.0,"2019-10-20 16:22:01"
14.0,"2019-10-20 16:20:31"
15.0,"2019-10-20 16:18:31"
14.0,"2019-10-20 16:16:31"
15.0,"2019-10-20 16:08:01"
14.0,"2019-10-20 16:04:01"
15.0,"2019-10-20 16:03:31"
14.0,"2019-10-20 15:59:01"
15.0,"2019-10-20 15:53:31"
14.0,"2019-10-20 15:52:03"
15.0,"2019-10-20 15:51:31"
14.0,"2019-10-20 15:45:01"
15.0,"2019-10-20 15:44:31"
14.0,"2019-10-20 15:40:31"
15.0,"2019-10-20 15:39:01"
14.0,"2019-10-20 15:26:31"
15.0,"2019-10-20 15:26:01"
14.0,"2019-10-20 15:25:31"
15.0,"2019-10-20 15:25:01"
14.0,"2019-10-20 15:21:01"
13.0,"2019-10-20 15:08:01"
12.0,"2019-10-20 14:52:31"
11.0,"2019-10-20 14:51:01"
12.0,"2019-10-20 14:50:31"
11.0,"2019-10-20 14:35:31"
10.0,"2019-10-20 14:20:31"
9.0,"2019-10-20 14:19:31"
10.0,"2019-10-20 14:16:31"
9.0,"2019-10-20 14:16:01"
10.0,"2019-10-20 14:14:31"
9.0,"2019-10-20 14:14:01"
10.0,"2019-10-20 14:12:31"
9.0,"2019-10-20 14:12:01"
10.0,"2019-10-20 14:05:31"
9.0,"2019-10-20 14:04:01"
10.0,"2019-10-20 14:02:01"
9.0,"2019-10-20 14:01:01"
10.0,"2019-10-20 13:55:01"
9.0,"2019-10-20 13:52:01"
10.0,"2019-10-20 13:51:31"
9.0,"2019-10-20 13:51:01"
10.0,"2019-10-20 13:49:31"
9.0,"2019-10-20 13:49:01"
10.0,"2019-10-20 13:48:01"
9.0,"2019-10-20 13:47:01"
10.0,"2019-10-20 13:46:31"
9.0,"2019-10-20 13:36:31"
10.0,"2019-10-20 13:35:01"
9.0,"2019-10-20 13:31:01"
10.0,"2019-10-20 13:30:31"
9.0,"2019-10-20 13:22:01"
10.0,"2019-10-20 13:21:31"
9.0,"2019-10-20 13:19:01"
10.0,"2019-10-20 13:14:02"
11.0,"2019-10-20 13:13:01"
10.0,"2019-10-20 13:12:31"
11.0,"2019-10-20 13:11:01"
12.0,"2019-10-20 13:09:01"
13.0,"2019-10-20 13:07:01"
12.0,"2019-10-20 13:04:31"
13.0,"2019-10-20 13:03:01"
12.0,"2019-10-20 12:59:31"
13.0,"2019-10-20 11:50:31"
14.0,"2019-10-20 11:46:01"
13.0,"2019-10-20 11:44:31"
14.0,"2019-10-20 11:33:01"
13.0,"2019-10-20 11:32:31"
14.0,"2019-10-20 09:49:01"
15.0,"2019-10-20 09:48:31"
14.0,"2019-10-20 09:47:01"
15.0,"2019-10-20 09:33:31"
16.0,"2019-10-20 09:33:01"
15.0,"2019-10-20 09:27:31"
16.0,"2019-10-20 09:27:01"
15.0,"2019-10-20 09:19:31"
16.0,"2019-10-20 09:19:01"
15.0,"2019-10-20 09:17:31"
16.0,"2019-10-20 09:17:01"
15.0,"2019-10-20 09:05:01"
16.0,"2019-10-20 09:04:31"
15.0,"2019-10-20 09:04:01"
16.0,"2019-10-20 09:02:31"
15.0,"2019-10-20 09:02:01"
16.0,"2019-10-20 09:01:31"
15.0,"2019-10-20 09:01:01"
16.0,"2019-10-20 08:11:31"
17.0,"2019-10-20 08:11:01"
16.0,"2019-10-20 08:03:31"
17.0,"2019-10-20 08:02:31"
16.0,"2019-10-20 07:59:31"
17.0,"2019-10-20 07:58:01"
18.0,"2019-10-20 07:57:31"
16.0,"2019-10-20 07:57:01"
18.0,"2019-10-20 07:56:31"
17.0,"2019-10-20 07:52:01"
18.0,"2019-10-20 07:50:01"
17.0,"2019-10-20 07:48:31"
18.0,"2019-10-20 07:48:01"
17.0,"2019-10-20 07:46:31"
18.0,"2019-10-20 07:46:01"
17.0,"2019-10-20 07:36:31"
18.0,"2019-10-20 07:36:01"
17.0,"2019-10-20 07:34:31"
19.0,"2019-10-20 07:34:01"
17.0,"2019-10-20 07:33:31"
19.0,"2019-10-20 07:33:01"
18.0,"2019-10-20 07:30:31"
19.0,"2019-10-20 07:30:01"
18.0,"2019-10-20 07:28:01"
19.0,"2019-10-20 07:27:31"
18.0,"2019-10-20 07:25:31"
19.0,"2019-10-20 07:25:01"
18.0,"2019-10-20 07:15:31"
19.0,"2019-10-20 07:15:02"
18.0,"2019-10-20 07:13:01"
19.0,"2019-10-20 07:12:31"
18.0,"2019-10-20 07:11:31"
17.0,"2019-10-20 07:10:31"
18.0,"2019-10-20 07:10:01"
17.0,"2019-10-20 07:09:01"
18.0,"2019-10-20 07:08:31"
17.0,"2019-10-20 07:05:01"
18.0,"2019-10-20 07:04:31"
17.0,"2019-10-20 07:01:01"
18.0,"2019-10-20 07:00:31"
17.0,"2019-10-20 06:54:31"
18.0,"2019-10-20 06:53:31"
17.0,"2019-10-20 06:53:01"
18.0,"2019-10-20 06:52:31"
17.0,"2019-10-20 06:47:31"
18.0,"2019-10-20 06:47:01"
17.0,"2019-10-20 06:42:01"
18.0,"2019-10-20 06:41:31"
17.0,"2019-10-20 06:37:31"
19.0,"2019-10-20 06:36:31"
17.0,"2019-10-20 06:35:31"
18.0,"2019-10-20 06:33:31"
19.0,"2019-10-20 06:33:01"
18.0,"2019-10-20 06:32:31"
19.0,"2019-10-20 06:32:01"
18.0,"2019-10-20 06:31:01"
17.0,"2019-10-20 06:30:01"
18.0,"2019-10-20 06:29:31"
17.0,"2019-10-20 06:29:01"
18.0,"2019-10-20 06:23:31"
17.0,"2019-10-20 06:16:31"
18.0,"2019-10-20 06:07:31"
17.0,"2019-10-20 06:07:01"
18.0,"2019-10-20 06:01:31"
19.0,"2019-10-20 06:01:01"
18.0,"2019-10-20 05:54:31"
19.0,"2019-10-20 05:53:31"
18.0,"2019-10-20 05:48:01"
19.0,"2019-10-20 05:47:01"
20.0,"2019-10-20 05:46:31"
19.0,"2019-10-20 05:46:01"
18.0,"2019-10-20 05:42:01"
19.0,"2019-10-20 05:37:01"
20.0,"2019-10-20 05:36:31"
19.0,"2019-10-20 05:26:31"
20.0,"2019-10-20 05:26:01"
19.0,"2019-10-20 05:23:01"
20.0,"2019-10-20 05:22:31"
19.0,"2019-10-20 05:17:31"
20.0,"2019-10-20 05:17:01"
19.0,"2019-10-20 05:16:31"
18.0,"2019-10-20 05:16:01"
19.0,"2019-10-20 05:15:01"
20.0,"2019-10-20 05:14:31"
19.0,"2019-10-20 05:06:01"
20.0,"2019-10-20 05:05:01"
19.0,"2019-10-20 04:57:01"
20.0,"2019-10-20 04:53:31"
19.0,"2019-10-20 04:52:01"
20.0,"2019-10-20 04:47:31"
19.0,"2019-10-20 04:47:01"
20.0,"2019-10-20 04:28:31"
19.0,"2019-10-20 04:28:01"
20.0,"2019-10-20 04:24:01"
19.0,"2019-10-20 04:23:02"
20.0,"2019-10-20 04:22:31"
19.0,"2019-10-20 04:18:31"
20.0,"2019-10-20 04:15:01"
19.0,"2019-10-20 04:14:31"
20.0,"2019-10-20 04:14:01"
19.0,"2019-10-20 04:13:01"
20.0,"2019-10-20 04:12:31"
19.0,"2019-10-20 04:01:31"
18.0,"2019-10-20 04:00:31"
19.0,"2019-10-20 03:25:31"
20.0,"2019-10-20 03:21:31"
19.0,"2019-10-20 03:21:01"
20.0,"2019-10-20 03:08:01"
19.0,"2019-10-20 03:05:31"
20.0,"2019-10-20 03:05:01"
19.0,"2019-10-20 02:59:01"
20.0,"2019-10-20 02:58:01"
19.0,"2019-10-20 02:56:01"
20.0,"2019-10-20 02:55:31"
19.0,"2019-10-20 02:51:31"
20.0,"2019-10-20 02:51:01"
19.0,"2019-10-20 02:46:01"
20.0,"2019-10-20 02:45:31"
19.0,"2019-10-20 02:44:01"
18.0,"2019-10-20 02:41:31"
19.0,"2019-10-20 02:41:01"
18.0,"2019-10-20 02:39:31"
19.0,"2019-10-20 02:39:01"
18.0,"2019-10-20 02:37:31"
19.0,"2019-10-20 02:37:01"
18.0,"2019-10-20 02:32:31"
19.0,"2019-10-20 02:32:01"
18.0,"2019-10-20 02:31:01"
19.0,"2019-10-20 02:30:31"
18.0,"2019-10-20 02:29:01"
19.0,"2019-10-20 02:28:31"
18.0,"2019-10-20 02:28:01"
19.0,"2019-10-20 02:18:01"
18.0,"2019-10-20 02:17:31"
19.0,"2019-10-20 02:16:31"
18.0,"2019-10-20 02:13:31"
19.0,"2019-10-20 02:13:01"
18.0,"2019-10-20 01:57:31"
19.0,"2019-10-20 01:57:01"
18.0,"2019-10-20 01:54:01"
19.0,"2019-10-20 01:53:31"
18.0,"2019-10-20 01:51:01"
19.0,"2019-10-20 01:50:31"
18.0,"2019-10-20 01:50:01"
19.0,"2019-10-20 01:49:01"
18.0,"2019-10-20 01:39:31"
19.0,"2019-10-20 01:39:01"
18.0,"2019-10-20 01:38:01"
19.0,"2019-10-20 01:37:31"
18.0,"2019-10-20 01:28:31"
19.0,"2019-10-20 01:28:01"
18.0,"2019-10-20 01:27:31"
19.0,"2019-10-20 01:27:01"
18.0,"2019-10-20 01:23:01"
19.0,"2019-10-20 01:22:31"
18.0,"2019-10-20 01:20:01"
19.0,"2019-10-20 01:19:31"
18.0,"2019-10-20 01:18:31"
19.0,"2019-10-20 01:15:01"
18.0,"2019-10-20 01:14:31"
19.0,"2019-10-20 01:13:31"
18.0,"2019-10-20 01:12:01"
19.0,"2019-10-20 01:11:31"
18.0,"2019-10-20 01:11:01"
19.0,"2019-10-20 01:10:31"
18.0,"2019-10-20 01:10:01"
19.0,"2019-10-20 00:37:31"
18.0,"2019-10-20 00:36:31"
19.0,"2019-10-20 00:36:01"
18.0,"2019-10-20 00:29:31"
19.0,"2019-10-20 00:27:31"
18.0,"2019-10-20 00:24:01"
19.0,"2019-10-20 00:23:01"
18.0,"2019-10-20 00:17:31"
19.0,"2019-10-20 00:17:01"
18.0,"2019-10-20 00:11:31"
19.0,"2019-10-20 00:10:31"
18.0,"2019-10-20 00:09:01"
19.0,"2019-10-20 00:08:31"
18.0,"2019-10-20 00:02:01"
19.0,"2019-10-20 00:01:31"
18.0,"2019-10-19 23:56:31"
19.0,"2019-10-19 23:56:01"
18.0,"2019-10-19 23:55:31"
19.0,"2019-10-19 23:55:01"
18.0,"2019-10-19 23:47:31"
19.0,"2019-10-19 23:47:01"
18.0,"2019-10-19 23:46:31"
19.0,"2019-10-19 23:46:01"
18.0,"2019-10-19 23:43:01"
19.0,"2019-10-19 23:42:31"
18.0,"2019-10-19 23:41:01"
19.0,"2019-10-19 23:40:31"
18.0,"2019-10-19 23:23:31"
19.0,"2019-10-19 23:23:01"
18.0,"2019-10-19 23:22:31"
19.0,"2019-10-19 23:22:01"
18.0,"2019-10-19 23:19:31"
19.0,"2019-10-19 23:19:01"
18.0,"2019-10-19 23:13:01"
19.0,"2019-10-19 23:12:31"
18.0,"2019-10-19 23:02:31"
19.0,"2019-10-19 23:02:01"
18.0,"2019-10-19 23:01:01"
19.0,"2019-10-19 23:00:31"
18.0,"2019-10-19 22:59:01"
19.0,"2019-10-19 22:58:31"
18.0,"2019-10-19 22:53:31"
19.0,"2019-10-19 22:53:01"
18.0,"2019-10-19 22:49:01"
19.0,"2019-10-19 22:48:31"
18.0,"2019-10-19 22:43:01"
19.0,"2019-10-19 22:41:31"
18.0,"2019-10-19 22:40:31"
17.0,"2019-10-19 22:39:31"
19.0,"2019-10-19 22:39:01"
17.0,"2019-10-19 22:30:01"
18.0,"2019-10-19 22:29:31"
17.0,"2019-10-19 22:28:31"
18.0,"2019-10-19 22:28:01"
17.0,"2019-10-19 22:25:31"
18.0,"2019-10-19 22:25:01"
17.0,"2019-10-19 22:15:01"
18.0,"2019-10-19 22:01:31"
21.0,"2019-10-19 22:01:01"
18.0,"2019-10-19 21:51:01"
19.0,"2019-10-19 21:50:31"
18.0,"2019-10-19 21:45:01"
24.0,"2019-10-19 21:44:31"
19.0,"2019-10-19 21:43:30"
18.0,"2019-10-19 21:43:01"
23.0,"2019-10-19 21:42:31"
19.0,"2019-10-19 21:40:00"
18.0,"2019-10-19 21:37:31"
19.0,"2019-10-19 21:37:01"
18.0,"2019-10-19 21:36:30"
19.0,"2019-10-19 21:36:01"
24.0,"2019-10-19 21:35:31"
19.0,"2019-10-19 21:35:00"
18.0,"2019-10-19 21:26:30"
19.0,"2019-10-19 21:24:00"
18.0,"2019-10-19 21:21:31"
24.0,"2019-10-19 21:21:00"
18.0,"2019-10-19 21:15:30"
19.0,"2019-10-19 21:14:00"
18.0,"2019-10-19 21:13:02"
19.0,"2019-10-19 21:10:30"
18.0,"2019-10-19 21:09:30"
19.0,"2019-10-19 21:08:30"
18.0,"2019-10-19 21:08:00"
19.0,"2019-10-19 21:03:00"
18.0,"2019-10-19 21:02:31"
19.0,"2019-10-19 20:57:30"
24.0,"2019-10-19 20:57:00"
19.0,"2019-10-19 20:56:30"
18.0,"2019-10-19 20:56:00"
19.0,"2019-10-19 20:55:31"
18.0,"2019-10-19 20:55:00"
19.0,"2019-10-19 20:54:00"
18.0,"2019-10-19 20:53:00"
21.0,"2019-10-19 20:52:30"
18.0,"2019-10-19 20:52:00"
19.0,"2019-10-19 20:51:00"
24.0,"2019-10-19 20:50:30"
19.0,"2019-10-19 20:50:02"
18.0,"2019-10-19 20:49:30"
19.0,"2019-10-19 20:49:00"
18.0,"2019-10-19 20:48:30"
19.0,"2019-10-19 20:46:30"
18.0,"2019-10-19 20:45:01"
24.0,"2019-10-19 20:44:30"
18.0,"2019-10-19 20:44:00"
19.0,"2019-10-19 20:36:00"
18.0,"2019-10-19 20:35:30"
19.0,"2019-10-19 20:33:00"
18.0,"2019-10-19 20:24:00"
19.0,"2019-10-19 20:23:00"
18.0,"2019-10-19 20:22:31"
19.0,"2019-10-19 20:22:00"
18.0,"2019-10-19 20:21:00"
19.0,"2019-10-19 20:02:30"
18.0,"2019-10-19 20:02:00"
19.0,"2019-10-19 19:58:30"
18.0,"2019-10-19 19:58:00"
19.0,"2019-10-19 19:57:30"
18.0,"2019-10-19 19:24:30"
19.0,"2019-10-19 19:22:30"
18.0,"2019-10-19 19:22:00"
19.0,"2019-10-19 19:20:00"
20.0,"2019-10-19 19:19:30"
19.0,"2019-10-19 19:19:00"
18.0,"2019-10-19 19:10:00"
19.0,"2019-10-19 19:07:30"
18.0,"2019-10-19 19:06:30"
19.0,"2019-10-19 19:05:30"
18.0,"2019-10-19 19:05:00"
19.0,"2019-10-19 19:02:30"
18.0,"2019-10-19 19:02:00"
19.0,"2019-10-19 18:57:30"
25.0,"2019-10-19 18:57:00"
19.0,"2019-10-19 18:56:00"
18.0,"2019-10-19 18:52:00"
19.0,"2019-10-19 18:51:30"
18.0,"2019-10-19 18:44:00"
19.0,"2019-10-19 18:37:30"
18.0,"2019-10-19 18:36:00"
19.0,"2019-10-19 18:35:30"
18.0,"2019-10-19 18:35:00"
19.0,"2019-10-19 18:33:00"
18.0,"2019-10-19 18:32:00"
19.0,"2019-10-19 18:23:30"
18.0,"2019-10-19 18:22:00"
19.0,"2019-10-19 18:21:30"
18.0,"2019-10-19 18:14:00"
19.0,"2019-10-19 18:13:30"
18.0,"2019-10-19 18:05:30"
19.0,"2019-10-19 18:04:00"
18.0,"2019-10-19 17:56:00"
17.0,"2019-10-19 17:53:30"
18.0,"2019-10-19 17:38:30"
19.0,"2019-10-19 17:35:30"
18.0,"2019-10-19 17:35:00"
19.0,"2019-10-19 17:34:00"
18.0,"2019-10-19 17:30:30"
19.0,"2019-10-19 17:29:00"
25.0,"2019-10-19 17:28:30"
19.0,"2019-10-19 17:24:00"
18.0,"2019-10-19 17:22:30"
19.0,"2019-10-19 17:14:30"
18.0,"2019-10-19 17:03:00"
29.0,"2019-10-19 17:02:30"
18.0,"2019-10-19 16:54:30"
23.0,"2019-10-19 16:54:00"
18.0,"2019-10-19 16:52:30"
29.0,"2019-10-19 16:52:00"
18.0,"2019-10-19 16:37:00"
19.0,"2019-10-19 16:36:00"
18.0,"2019-10-19 15:33:00"
17.0,"2019-10-19 15:29:00"
18.0,"2019-10-19 15:28:30"
17.0,"2019-10-19 15:28:00"
16.0,"2019-10-19 15:27:30"
15.0,"2019-10-19 15:26:00"
16.0,"2019-10-19 15:25:30"
17.0,"2019-10-19 15:25:00"
15.0,"2019-10-19 15:18:30"
14.0,"2019-10-19 15:18:00"
